Assembly	minimap2_miniasm
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	40947
Total length (>= 1000 bp)	40947
Total length (>= 5000 bp)	40947
Total length (>= 10000 bp)	40947
Total length (>= 25000 bp)	40947
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	40947
Total length	40947
Reference length	12470
Reference GC (%)	55.97
N50	40947
NG50	40947
N75	40947
NG75	40947
L50	1
LG50	1
L75	1
LG75	1
# unaligned contigs	1 + 0 part
Unaligned length	40947
# N's per 100 kbp	0.00
NGA50	-
